researcher,screening_round,extract,extract_fraction,concentration,organism,biological_rep,technical_rep,auc,log_reduction_auc
SV,1,CTRL,Broth,0,EC,1,1,2,3.2776092143040914
SV,1,CTRL,Broth,0,EC,1,2,12,2.4994579639204475
SV,1,CTRL,Broth,0.015625,EC,1,1,2,3.2776092143040914
SV,1,CTRL,Broth,0.015625,EC,1,2,4,2.97657921864011
SV,1,CTRL,Broth,0.03125,EC,1,1,2,3.2776092143040914
SV,1,CTRL,Broth,0.03125,EC,1,2,2,3.2776092143040914
SV,1,CTRL,Broth,0.0625,EC,1,1,4,2.97657921864011
SV,1,CTRL,Broth,0.0625,EC,1,2,4,2.97657921864011
SV,1,CTRL,Broth,0.125,EC,1,1,6,2.8004879595844288
SV,1,CTRL,Broth,0.125,EC,1,2,6,2.8004879595844288
SV,1,CTRL,Broth,0.25,EC,1,1,4,2.97657921864011
SV,1,CTRL,Broth,0.25,EC,1,2,2,3.2776092143040914
SV,1,CTRL,Broth,0.5,EC,1,1,0,Inf
SV,1,CTRL,Broth,0.5,EC,1,2,6,2.8004879595844288
SV,1,CTRL,Broth,1,EC,1,1,0,Inf
SV,1,CTRL,Broth,1,EC,1,2,2,3.2776092143040914
SV,1,CTRL,DMSO,0,EC,1,1,32,2.0734892316481663
SV,1,CTRL,DMSO,0,EC,1,2,46,1.9158813782864983
SV,1,CTRL,DMSO,0.0625,EC,1,1,42,1.9553899195701718
SV,1,CTRL,DMSO,0.0625,EC,1,2,52,1.8626358663332732
SV,1,CTRL,DMSO,0.125,EC,1,1,36,2.022336709200785
SV,1,CTRL,DMSO,0.125,EC,1,2,56,1.830451182961872
SV,1,CTRL,DMSO,0.25,EC,1,1,34,2.0471602929258172
SV,1,CTRL,DMSO,0.25,EC,1,2,34,2.0471602929258172
SV,1,CTRL,DMSO,0.5,EC,1,1,38,1.9988556133512623
SV,1,CTRL,DMSO,0.5,EC,1,2,46,1.9158813782864983
SV,1,CTRL,DMSO,1,EC,1,1,38,1.9988556133512623
SV,1,CTRL,DMSO,1,EC,1,2,50,1.8796692056320534
SV,1,CTRL,DMSO,2,EC,1,1,40,1.9765792186401099
SV,1,CTRL,DMSO,2,EC,1,2,46,1.9158813782864983
SV,1,CTRL,DMSO,4,EC,1,1,34,2.0471602929258172
SV,1,CTRL,DMSO,4,EC,1,2,38,1.9988556133512623
SV,1,CTRL,Kanamycin,0,EC,1,1,40,1.9765792186401099
SV,1,CTRL,Kanamycin,0,EC,1,2,42,1.9553899195701718
SV,1,CTRL,Kanamycin,15.625,EC,1,1,50,1.8796692056320534
SV,1,CTRL,Kanamycin,15.625,EC,1,2,62,1.7862475204698185
