researcher,screening_round,extract,extract_fraction,concentration,organism,biological_rep,technical_rep,auc,log_reduction_auc
AG,AG 11,CTRL,Broth,0,MA,11,1,48,3.7922866055403506
AG,AG 11,CTRL,Broth,0,MA,11,2,192,3.190226614212388
AG,AG 11,CTRL,Broth,0,MM,11,1,120,2.302114376956201
AG,AG 11,CTRL,Broth,0,MM,11,2,48,2.700054385628239
AG,AG 11,CTRL,Broth,0.015625,MA,11,1,168,3.248218561190075
AG,AG 11,CTRL,Broth,0.015625,MA,11,2,144,3.315165350820688
AG,AG 11,CTRL,Broth,0.015625,MM,11,1,72,2.5239631265725575
AG,AG 11,CTRL,Broth,0.015625,MM,11,2,72,2.5239631265725575
AG,AG 11,CTRL,Broth,0.03125,MA,11,1,168,3.248218561190075
AG,AG 11,CTRL,Broth,0.03125,MA,11,2,168,3.248218561190075
AG,AG 11,CTRL,Broth,0.03125,MM,11,1,48,2.700054385628239
AG,AG 11,CTRL,Broth,0.03125,MM,11,2,192,2.0979943943002763
AG,AG 11,CTRL,Broth,0.0625,MA,11,1,96,3.4912566098763693
AG,AG 11,CTRL,Broth,0.0625,MA,11,2,216,3.1390740917650066
AG,AG 11,CTRL,Broth,0.0625,MM,11,1,168,2.155986341277963
AG,AG 11,CTRL,Broth,0.0625,MM,11,2,120,2.302114376956201
AG,AG 11,CTRL,Broth,0.125,MA,11,1,144,3.315165350820688
AG,AG 11,CTRL,Broth,0.125,MA,11,2,144,3.315165350820688
AG,AG 11,CTRL,Broth,0.125,MM,11,1,168,2.155986341277963
AG,AG 11,CTRL,Broth,0.125,MM,11,2,192,2.0979943943002763
AG,AG 11,CTRL,Broth,0.25,MA,11,1,312,2.979373248897495
AG,AG 11,CTRL,Broth,0.25,MA,11,2,96,3.4912566098763693
AG,AG 11,CTRL,Broth,0.25,MM,11,1,240,2.00108438129222
AG,AG 11,CTRL,Broth,0.25,MM,11,2,216,2.046841871852895
AG,AG 11,CTRL,Broth,0.5,MA,11,1,168,3.248218561190075
AG,AG 11,CTRL,Broth,0.5,MA,11,2,120,3.3943465968683126
AG,AG 11,CTRL,Broth,0.5,MM,11,1,96,2.3990243899642576
AG,AG 11,CTRL,Broth,0.5,MM,11,2,24,3.00108438129222
AG,AG 11,CTRL,Broth,1,MA,11,1,120,3.3943465968683126
AG,AG 11,CTRL,Broth,1,MA,11,2,120,3.3943465968683126
AG,AG 11,CTRL,Broth,1,MM,11,1,120,2.302114376956201
AG,AG 11,CTRL,Broth,1,MM,11,2,96,2.3990243899642576
AG,AG 11,CTRL,DMSO,0,MA,11,1,487884,-0.21478873288099848
AG,AG 11,CTRL,DMSO,0,MA,11,2,419424,-0.14912543483319926
AG,AG 11,CTRL,DMSO,0,MM,11,1,23592.000000000004,0.00853086346008421
AG,AG 11,CTRL,DMSO,0,MM,11,2,32448,-0.12989231031339724
AG,AG 11,CTRL,DMSO,0.0625,MA,11,1,288696,0.013087076319464446
AG,AG 11,CTRL,DMSO,0.0625,MA,11,2,300600,-0.004461133334951732
AG,AG 11,CTRL,DMSO,0.0625,MM,11,1,31320,-0.11452613038207984
AG,AG 11,CTRL,DMSO,0.0625,MM,11,2,26160,-0.03634211664840372
AG,AG 11,CTRL,DMSO,0.125,MA,11,1,311400,-0.019790765316163857
AG,AG 11,CTRL,DMSO,0.125,MA,11,2,310872,-0.01905376432150065
AG,AG 11,CTRL,DMSO,0.125,MM,11,1,22632,0.02657268855489154
AG,AG 11,CTRL,DMSO,0.125,MM,11,2,33048,-0.13784955896470377
AG,AG 11,CTRL,DMSO,0.25,MA,11,1,327072,-0.041115523691508185
AG,AG 11,CTRL,DMSO,0.25,MA,11,2,335904,-0.052687332606537254
AG,AG 11,CTRL,DMSO,0.25,MM,11,1,27456,-0.05734164316478549
AG,AG 11,CTRL,DMSO,0.25,MM,11,2,22896,0.021536006588124823
AG,AG 11,CTRL,DMSO,0.5,MA,11,1,319584,-0.031057185280298157
AG,AG 11,CTRL,DMSO,0.5,MA,11,2,326184,-0.0399348112679883
AG,AG 11,CTRL,DMSO,0.5,MM,11,1,24648,-0.010486062305058304
AG,AG 11,CTRL,DMSO,0.5,MM,11,2,26376,-0.039913311131270626
AG,AG 11,CTRL,DMSO,1,MA,11,1,333252,-0.049244921580634045
AG,AG 11,CTRL,DMSO,1,MA,11,2,304680,-0.010316104005409468
AG,AG 11,CTRL,DMSO,1,MM,11,1,19896,0.08252985074194634
AG,AG 11,CTRL,DMSO,1,MM,11,2,27816,-0.06299905467137608
AG,AG 11,CTRL,DMSO,2,MA,11,1,307404,-0.014181671407923143
AG,AG 11,CTRL,DMSO,2,MA,11,2,276840,0.03129900234721931
AG,AG 11,CTRL,DMSO,2,MM,11,1,17520,0.137761521171764
AG,AG 11,CTRL,DMSO,2,MM,11,2,15864,0.1808829218065797
AG,AG 11,CTRL,DMSO,4,MA,11,1,244800,0.08471642944241399
AG,AG 11,CTRL,DMSO,4,MA,11,2,202128,0.1679013641200853
AG,AG 11,CTRL,DMSO,4,MM,11,1,8712,0.4411777562561074
AG,AG 11,CTRL,DMSO,4,MM,11,2,11424,0.32347742857172673
AG,AG 11,CTRL,NA,0,MA,11,1,361344,-0.08439300487885011
AG,AG 11,CTRL,NA,0,MA,11,2,303060,-0.008000775980055535
AG,AG 11,CTRL,NA,0,MM,11,1,29112,-0.08277641957435306
AG,AG 11,CTRL,NA,0,MM,11,2,31176,-0.11252476978080794
AG,AG 11,CTRL,NA,0.15625,MM,11,1,18648,0.11066336249130562
AG,AG 11,CTRL,NA,0.15625,MM,11,2,16920,0.15289526430082118
AG,AG 11,CTRL,NA,0.3125,MM,11,1,4776,0.7022313048825133
AG,AG 11,CTRL,NA,0.3125,MM,11,2,5976,0.6048850341964835
AG,AG 11,CTRL,NA,0.625,MM,11,1,1224,1.2935142051942836
AG,AG 11,CTRL,NA,0.625,MM,11,2,1752,1.137761521171764
AG,AG 11,CTRL,NA,1.25,MM,11,1,360,1.8249931222365388
AG,AG 11,CTRL,NA,1.25,MM,11,2,576,1.620873139580614
AG,AG 11,CTRL,NA,2.5,MM,11,1,240,2.00108438129222
AG,AG 11,CTRL,NA,2.5,MM,11,2,120,2.302114376956201
AG,AG 11,CTRL,NA,5,MM,11,1,144,2.2229331309085762
